tag,delta,mwu
TSS_1085,-0.9045677777777777,-9.290472714833903
TSS_758,-0.6823177777777778,-7.966979963055438
TSS_1021,-0.5099655555555556,-6.771411918835389
TSS_658,-0.478871111111111,-6.765887943953704
TSS_463,-0.39140444444444444,-6.186807264511164
TSS_987,-1.0164400000000002,-6.161573916090112
TSS_754,-0.44498777777777776,-6.159628185953632
TSS_707,-0.42792222222222226,-6.157956868437655
TSS_293,-0.73831,-5.967591933038296
TSS_268,-1.5426077777777778,-5.55671591058305
TSS_741,-0.9367288888888888,-5.51292088250858
TSS_82,-0.3211555555555555,-5.461708993110884
TSS_927,-0.3538911111111111,-5.226440587742076
TSS_67,-0.5822677777777777,-5.19901615719376
TSS_422.1,-0.37449444444444446,-5.144991831070348
TSS_416,-0.5877,-5.035942376468902
TSS_596,-0.33496111111111104,-4.904249692146246
TSS_939,-0.29664999999999997,-4.842211287828135
TSS_109,-0.37213222222222225,-4.711650667924308
TSS_1031,-0.4963022222222222,-4.6793432903876235
TSS_222,-1.0201744444444445,-4.63653986275744
TSS_1047,-0.6564122222222222,-4.5519278847700315
TSS_1022,-1.4289544444444442,-4.444777500659157
TSS_66,-0.5750744444444444,-4.357993137556433
TSS_308,-0.2747366666666667,-4.302676299673701
TSS_986,-0.9821211111111112,-4.2866508390096065
TSS_634,-0.46272222222222226,-4.245575270070449
TSS_940,-0.23657777777777778,-4.206346817689217
TSS_438,-0.46330777777777776,-4.1926725329381265
TSS_701.1,-0.37440444444444443,-4.148176552529779
TSS_125.1,-0.3996777777777778,-4.01593486743566
TSS_1043.1,-0.40270777777777783,-3.9811783020297877
TSS_850,-0.3696877777777778,-3.908081246440924
TSS_256,-0.27313222222222217,-3.839876425281934
TSS_287,-0.13953777777777776,-3.6847285878965956
TSS_740,-0.7419088888888888,-3.6757054746663353
TSS_1007,-1.7317688888888891,-3.6630629756815916
TSS_936,-0.3661422222222222,-3.6567088423826086
TSS_1116,-0.09147333333333334,-3.623770338619444
TSS_147,-0.34361222222222226,-3.5662528461659497
TSS_890,-0.2187633333333333,-3.553819794375551
TSS_973,-0.4750033333333332,-3.5450511029465606
TSS_985,-0.41618333333333335,-3.5351164883765276
TSS_610,-0.2429711111111111,-3.516583372523805
TSS_27,-0.8168133333333335,-3.4717791632203516
TSS_572,-0.12106555555555554,-3.4685530992808
TSS_937,-0.41181222222222225,-3.4522617351432734
TSS_1000,-0.24814555555555554,-3.393639598589617
TSS_470,-0.31255666666666665,-3.302123773193645
TSS_208,-0.2445355555555556,-3.268516174625622
TSS_569,-0.2962955555555556,-3.2448069872993863
TSS_168,-0.30143444444444445,-3.242701010127332
TSS_83,-0.30283333333333334,-3.241924133103677
TSS_516.1,-0.07546222222222222,-3.1940658921154497
TSS_278,-0.14430666666666667,-3.1697734512388682
TSS_42,-0.4177688888888889,-3.1541933304203322
TSS_659,-0.1605555555555556,-3.146610137969071
TSS_277,-0.14022666666666667,-3.1298508579821815
TSS_848,-0.1647877777777778,-3.0842535559757938
TSS_539,-0.1736711111111111,-3.0644753644181737
TSS_1006,-1.6684655555555554,-2.9908464862738597
TSS_1076.1,0.15486222222222226,-2.9694355078472037
TSS_742,-0.71532,-2.934727450595855
TSS_700,-0.22854888888888888,-2.9161845314332924
TSS_1124,-0.23881111111111114,-2.8927461655028037
TSS_39.3,-0.2555077777777778,-2.892250789700326
TSS_468.1,-0.38688,-2.885906505329695
TSS_364,-0.4948377777777778,-2.8404752533529294
TSS_307,-0.2391677777777778,-2.835031982399049
TSS_304,-0.2747455555555555,-2.8208801076585868
TSS_327,-0.21069222222222223,-2.8050737704427324
TSS_790,-0.3823355555555556,-2.7941113672465456
TSS_295.1,-0.22036888888888892,-2.7724038763192445
TSS_1071.1,-0.22871444444444444,-2.7510664713928303
TSS_709,-0.3040088888888889,-2.700448761948519
TSS_1046,-0.573378888888889,-2.6945447990891953
TSS_409,-0.7248266666666667,-2.6869304384563986
TSS_489,0.18997888888888886,-2.6696873819154607
TSS_961,-0.4324733333333333,-2.6089434531262863
TSS_817,-0.52845,-2.5860053818882447
TSS_1112,-0.2647933333333333,-2.555436882027891
TSS_1055,-0.18824222222222226,-2.537450052673217
TSS_831,-0.15639222222222218,-2.5298906235462604
TSS_1076,0.10866666666666669,-2.491267933262792
TSS_1039.1,-0.10206333333333334,-2.4581927216846955
TSS_56,-0.13169777777777775,-2.448079261061919
TSS_1032,-0.1773011111111111,-2.4330638673999596
TSS_90,-0.7520111111111111,-2.4086560013199487
TSS_88.1,-0.2553811111111111,-2.394996700993026
TSS_4.5,-0.15828666666666666,-2.373292845703787
TSS_369.1,-0.20734999999999998,-2.3053359469566908
TSS_437,-0.4158266666666667,-2.2583113673610224
TSS_426,-0.34302666666666665,-2.249877562140664
TSS_342.1,-0.21447555555555556,-2.237157555427348
TSS_498,-0.1980811111111111,-2.2333009577633187
TSS_85,-0.09236555555555555,-2.220380585551132
TSS_319,-0.17589555555555555,-2.213960837782318
TSS_755,-0.38715444444444447,-2.1980282550767587
TSS_873,-0.2102133333333333,-2.1941820453655043
